hello:Xin chào
abandon:từ bỏ
abstract:trừu tượng
acquire:đạt được
adapt:thích nghi
adjust:điều chỉnh
advocate:ủng hộ
aggressive:hung hăng
allocate:phân bổ
alter:thay đổi
ambiguous:mơ hồ
analyse:phân tích
annual:hàng năm
anticipate:đoán trước
apparent:rõ ràng
appropriate:thích hợp
arise:phát sinh
assign:phân công
assume:giả định
attain:đạt được
aware:nhận thức
benefit:lợi ích
bias:thiên vị
brief:ngắn gọn
cease:ngừng
challenge:thử thách
clarify:làm rõ
coherent:mạch lạc
collapse:sụp đổ
commit:cam kết
compensate:bồi thường
complex:phức tạp
comprehensive:toàn diện
conceive:nhận thức
conclude:kết luận
conduct:tiến hành
conflict:xung đột
consequent:kết quả
considerable:đáng kể
constant:liên tục
constrain:ràng buộc
contribute:đóng góp
convene:triệu tập
convince:thuyết phục
core:cốt lõi
criteria:tiêu chí
crucial:quan trọng
debate:tranh luận
deduce:suy luận
define:định nghĩa
demonstrate:chứng minh
depress:làm chán nản
derive:bắt nguồn
design:thiết kế
detect:phát hiện
devote:cống hiến
differentiate:phân biệt
diminish:giảm bớt
discriminate:phân biệt đối xử
displace:di dời
display:hiển thị
distinct:riêng biệt
distort:xuyên tạc
distribute:phân phối
diverse:đa dạng
eliminate:loại bỏ
emerge:xuất hiện
emphasize:nhấn mạnh
enable:cho phép
encounter:chạm trán
enhance:nâng cao
ensure:đảm bảo
equate:coi như nhau
establish:thiết lập
evaluate:đánh giá
evident:hiển nhiên
evolve:tiến hóa
exceed:vượt quá
exclude:loại trừ
explicit:rõ ràng
expose:phơi bày
extract:trích xuất
facilitate:tạo điều kiện
feature:đặc điểm
fluctuate:dao động
focus:tập trung
generate:tạo ra
identify:nhận diện
illustrate:minh họa
implement:thực hiện
imply:ngụ ý
indicate:chỉ ra
infer:suy ra
initial:ban đầu
innovate:đổi mới
insight:hiểu biết sâu sắc
integrate:hội nhập
intervene:can thiệp
investigate:điều tra
justify:biện minh
maintain:duy trì
test:ki�m tra
test:ki�m tra
